Date,State_Id,TotalSamples,Negative,Positive
27-03-2021,Andaman and Nicobar Islands,314309,0,5044
28-03-2021,Andaman and Nicobar Islands,315818,0,5046
29-03-2021,Andaman and Nicobar Islands,317137,0,5052
30-03-2021,Andaman and Nicobar Islands,318382,0,5081
31-03-2021,Andaman and Nicobar Islands,319864,0,5083
01-04-2021,Andaman and Nicobar Islands,321456,0,5084
02-04-2021,Andaman and Nicobar Islands,323001,0,5084
03-04-2021,Andaman and Nicobar Islands,324207,0,5098
04-04-2021,Andaman and Nicobar Islands,325826,0,5109
05-04-2021,Andaman and Nicobar Islands,327270,0,5116
06-04-2021,Andaman and Nicobar Islands,328737,0,5123
07-04-2021,Andaman and Nicobar Islands,330481,0,5131
08-04-2021,Andaman and Nicobar Islands,332119,0,5149
09-04-2021,Andaman and Nicobar Islands,333671,0,5161
10-04-2021,Andaman and Nicobar Islands,335784,0,5175
11-04-2021,Andaman and Nicobar Islands,337833,0,5190
12-04-2021,Andaman and Nicobar Islands,339482,0,5201
13-04-2021,Andaman and Nicobar Islands,341557,0,5209
14-04-2021,Andaman and Nicobar Islands,343431,0,5247
15-04-2021,Andaman and Nicobar Islands,345485,0,5262
16-04-2021,Andaman and Nicobar Islands,347489,0,5289
17-04-2021,Andaman and Nicobar Islands,349739,0,5331
18-04-2021,Andaman and Nicobar Islands,352086,0,5390
19-04-2021,Andaman and Nicobar Islands,353754,0,5421
20-04-2021,Andaman and Nicobar Islands,355507,0,5466
21-04-2021,Andaman and Nicobar Islands,357442,0,5490
22-04-2021,Andaman and Nicobar Islands,358903,0,5527
23-04-2021,Andaman and Nicobar Islands,360595,0,5569
24-04-2021,Andaman and Nicobar Islands,361594,0,5614
25-04-2021,Andaman and Nicobar Islands,363056,0,5665
26-04-2021,Andaman and Nicobar Islands,364735,0,5716
27-04-2021,Andaman and Nicobar Islands,366683,0,5764
28-04-2021,Andaman and Nicobar Islands,367689,0,5816
29-04-2021,Andaman and Nicobar Islands,368945,0,5875
30-04-2021,Andaman and Nicobar Islands,370896,0,5949
01-05-2021,Andaman and Nicobar Islands,372214,0,6046
02-05-2021,Andaman and Nicobar Islands,373007,0,6084
03-05-2021,Andaman and Nicobar Islands,373785,0,6150
04-05-2021,Andaman and Nicobar Islands,374428,0,6181
05-05-2021,Andaman and Nicobar Islands,375095,0,6223
06-05-2021,Andaman and Nicobar Islands,375477,0,6255
07-05-2021,Andaman and Nicobar Islands,375967,0,6311
08-05-2021,Andaman and Nicobar Islands,376536,0,6341
09-05-2021,Andaman and Nicobar Islands,376933,0,6367
10-05-2021,Andaman and Nicobar Islands,377293,0,6398
11-05-2021,Andaman and Nicobar Islands,377516,0,6426
12-05-2021,Andaman and Nicobar Islands,378060,0,6470
13-05-2021,Andaman and Nicobar Islands,378462,0,6510
14-05-2021,Andaman and Nicobar Islands,378887,0,6542
15-05-2021,Andaman and Nicobar Islands,379096,0,6568
16-05-2021,Andaman and Nicobar Islands,379674,0,6603
17-05-2021,Andaman and Nicobar Islands,380102,0,6638
18-05-2021,Andaman and Nicobar Islands,380395,0,6674
19-05-2021,Andaman and Nicobar Islands,380853,0,6709
20-05-2021,Andaman and Nicobar Islands,381349,0,6758
21-05-2021,Andaman and Nicobar Islands,382015,0,6789
22-05-2021,Andaman and Nicobar Islands,382640,0,6820
23-05-2021,Andaman and Nicobar Islands,383265,0,6844
24-05-2021,Andaman and Nicobar Islands,383396,0,6853
25-05-2021,Andaman and Nicobar Islands,383727,0,6878
26-05-2021,Andaman and Nicobar Islands,384188,0,6901
27-05-2021,Andaman and Nicobar Islands,384528,0,6917
28-05-2021,Andaman and Nicobar Islands,385020,0,6936
29-05-2021,Andaman and Nicobar Islands,385564,0,6964
30-05-2021,Andaman and Nicobar Islands,385988,0,6984
31-05-2021,Andaman and Nicobar Islands,386613,0,7005
01-06-2021,Andaman and Nicobar Islands,387348,0,7018
02-06-2021,Andaman and Nicobar Islands,387871,0,7043
03-06-2021,Andaman and Nicobar Islands,388486,0,7070
04-06-2021,Andaman and Nicobar Islands,389152,0,7088
05-06-2021,Andaman and Nicobar Islands,389785,0,7105
06-06-2021,Andaman and Nicobar Islands,390574,0,7119
07-06-2021,Andaman and Nicobar Islands,391273,0,7131
08-06-2021,Andaman and Nicobar Islands,392095,0,7154
09-06-2021,Andaman and Nicobar Islands,392974,0,7168
10-06-2021,Andaman and Nicobar Islands,393692,0,7197
11-06-2021,Andaman and Nicobar Islands,394822,0,7233
12-06-2021,Andaman and Nicobar Islands,395624,0,7243
13-06-2021,Andaman and Nicobar Islands,396534,0,7261
14-06-2021,Andaman and Nicobar Islands,397190,0,7269
15-06-2021,Andaman and Nicobar Islands,397953,0,7280
16-06-2021,Andaman and Nicobar Islands,398852,0,7306
17-06-2021,Andaman and Nicobar Islands,399580,0,7335
18-06-2021,Andaman and Nicobar Islands,400211,0,7363
