Election_id,State_id,Constituency,Candidate_name,Party,EVM_Votes,Postal _Votes,Total _Votes,Percentage_Votes,Result
1869,Haryana,HISAR,ATMA RAM BISHNOI,Independent,1091,6,1097,0.09,Lost
1870,Haryana,HISAR,KULBIR,Independent,1041,1000,1041,0.09,Lost
1871,Haryana,HISAR,CHANDER MOHAN,Independent,995,3,998,0.09,Lost
1872,Haryana,HISAR,ADVOCATE PARDEEP SIHMAR,Peoples Party of India (Democratic),871,5,876,0.07,Lost
1873,Haryana,HISAR,AJIT SINGH,Independent,794,2,796,0.07,Lost
1874,Haryana,HISAR,DEV GIRI,Rashtriya Lokswaraj Party,719,7,726,0.06,Lost
1875,Haryana,HISAR,DINESH KUMAR,Independent,699,4,703,0.06,Lost
1876,Haryana,HISAR,MASTER VIJENDER JITPURA,Socialist Unity Centre Of India (COMMUNIST),654,3,657,0.06,Lost
1877,Haryana,HISAR,RAJENDER KUMAR,Independent,485,1,486,0.04,Lost
1878,Haryana,HISAR,NEERAJ KUMA,Bharatiya Asha Party,419,4,423,0.04,Lost
1879,Haryana,HISAR,MANDEEP,Independent,404,1,405,0.03,Lost
1880,Haryana,HISAR,JAGAT SINGH,Vikas India Party,374,8,382,0.03,Lost
1881,Haryana,HISAR,PARJAPATI RAKESH DHUWARIA,Independent,372,2,374,0.03,Lost
1882,Haryana,HISAR,RANDHIR SINGH,Independent,352,1,353,0.03,Lost
1883,Haryana,HISAR,SURENDER KUMAR,Independent,326,1000,326,0.03,Lost
1884,Haryana,HISAR,SURENDER,Independent,308,1000,308,0.03,Lost
1885,Haryana,HISAR,VIJAY SINGH,Independent,270,2,272,0.02,Lost
1886,Haryana,HISAR,YOGESH BOORA,Independent,267,2,269,0.02,Lost
1887,Haryana,HISAR,NOTA,None of the Above,3333,33,3366,0.29,Lost
1888,Haryana,KARNAL,MANOHAR LAL,Bharatiya Janata Party,737282,2003,739285,54.93,Won
1889,Haryana,KARNAL,DIVYANSHU BUDHIRAJA,Indian National Congress,504437,2271,506708,37.65,Lost
1890,Haryana,KARNAL,INDER SINGH,Bahujan Samaj Party,32410,98,32508,2.42,Lost
1891,Haryana,KARNAL,MARATHA VIRENDER VERMA,Nationalist Congress Party,28984,167,29151,2.17,Lost
